Device,Execution Time,Memory Usage,Throughput,Array Size,ID,Type
i5-10300H CPU @ 2.50GHz with GTX 1650,1265.246868133545,30.517578125,15775.593287533236,2000,1,cpu
NVIDIA GeForce GTX 1650,560.072021484375,30.517578125,35638.30942152651,2000,1,cuda
i5-10300H CPU @ 2.50GHz with GTX 1650,96.97318077087402,122.0703125,824145.5974186632,4000,1,cpu
NVIDIA GeForce GTX 1650,11.143168449401855,122.0703125,7172109.114467345,4000,1,cuda
i5-10300H CPU @ 2.50GHz with GTX 1650,1279.7949314117432,488.28125,249915.0544745353,8000,1,cpu
NVIDIA GeForce GTX 1650,49.69260787963867,488.28125,6436370.189600233,8000,1,cuda
i5-10300H CPU @ 2.50GHz with GTX 1650,396.6789245605469,762.939453125,1259961.1147824246,10000,1,cpu
NVIDIA GeForce GTX 1650,68.18988800048828,762.939453125,7329532.789325319,10000,1,cuda
i5-10300H CPU @ 2.50GHz with GTX 1650,1589.2550945281982,1098.6328125,452891.43478484487,12000,1,cpu
NVIDIA GeForce GTX 1650,99.24163055419922,1098.6328125,7252601.715435486,12000,1,cuda
i5-10300H CPU @ 2.50GHz with GTX 1650,824.9025344848633,1716.61376953125,1363433.8276125614,15000,1,cpu
NVIDIA GeForce GTX 1650,101.44185638427734,1716.61376953125,11087139.57027229,15000,1,cuda
i5-10300H CPU @ 2.50GHz with GTX 1650,1125.5428791046145,1953.125,1136944.707977722,16000,1,cpu
NVIDIA GeForce GTX 1650,147.8656005859375,1953.125,8654345.668830981,16000,1,cuda
i5-10300H CPU @ 2.50GHz with GTX 1650 Ti,1486.860990524292,30.517578125,13424.267720522928,2000,2,cpu
NVIDIA GeForce GTX 1650 Ti,555.3734741210938,30.517578125,35939.81515157477,2000,2,cuda
i5-10300H CPU @ 2.50GHz with GTX 1650 Ti,67.00372695922852,122.0703125,1192769.770085043,4000,2,cpu
NVIDIA GeForce GTX 1650 Ti,9.31116771697998,122.0703125,8583243.523178805,4000,2,cuda
i5-10300H CPU @ 2.50GHz with GTX 1650 Ti,244.9705600738525,488.28125,1305626.357320554,8000,2,cpu
NVIDIA GeForce GTX 1650 Ti,28.56073570251465,488.28125,11198591.77758644,8000,2,cuda
i5-10300H CPU @ 2.50GHz with GTX 1650 Ti,301.0411262512207,762.939453125,1660238.3409332377,10000,2,cpu
NVIDIA GeForce GTX 1650 Ti,56.8666877746582,762.939453125,8788977.159712974,10000,2,cuda
i5-10300H CPU @ 2.50GHz with GTX 1650 Ti,435.0032806396485,1098.6328125,1654608.257072527,12000,2,cpu
NVIDIA GeForce GTX 1650 Ti,81.89100646972656,1098.6328125,8789243.789134288,12000,2,cuda
i5-10300H CPU @ 2.50GHz with GTX 1650 Ti,688.0013942718506,1716.61376953125,1634735.0882774466,15000,2,cpu
NVIDIA GeForce GTX 1650 Ti,100.71974182128906,1716.61376953125,11166629.298907446,15000,2,cuda
i5-10300H CPU @ 2.50GHz with GTX 1650 Ti,1363.9943599700928,1953.125,938185.7121667706,16000,2,cpu
NVIDIA GeForce GTX 1650 Ti,130.0813751220703,1953.125,9837534.534049392,16000,2,cuda
Intel(R) Core(TM) i7-1065G7 CPU @ 1.30GHz,555.1366806030273,30.517578125,35955.14527758833,2000,3,cpu
NVIDIA GeForce MX230,223.60397338867188,30.517578125,89265.05060491562,2000,3,cuda
Intel(R) Core(TM) i7-1065G7 CPU @ 1.30GHz,30.270099639892575,122.0703125,2640229.829130606,4000,3,cpu
NVIDIA GeForce MX230,29.90764808654785,122.0703125,2672226.842068106,4000,3,cuda
Intel(R) Core(TM) i7-1065G7 CPU @ 1.30GHz,114.01247978210448,488.28125,2805307.1085837604,8000,3,cpu
NVIDIA GeForce MX230,113.20188903808594,488.28125,2825394.723690452,8000,3,cuda
Intel(R) Core(TM) i7-1065G7 CPU @ 1.30GHz,178.78293991088867,762.939453125,2795568.8627176443,10000,3,cpu
NVIDIA GeForce MX230,178.58583068847656,762.939453125,2798654.395330201,10000,3,cuda
Intel(R) Core(TM) i7-1065G7 CPU @ 1.30GHz,254.2724609375,1098.6328125,2830664.466557849,12000,3,cpu
NVIDIA GeForce MX230,261.14215087890625,1098.6328125,2756200.0909372866,12000,3,cuda
Intel(R) Core(TM) i7-1065G7 CPU @ 1.30GHz,431.837797164917,1716.61376953125,2604450.1601847555,15000,3,cpu
NVIDIA GeForce MX230,408.6865539550781,1716.61376953125,2751986.844479411,15000,3,cuda
Intel(R) Core(TM) i7-1065G7 CPU @ 1.30GHz,466.9013023376465,1953.125,2740793.4259189125,16000,3,cpu
NVIDIA GeForce MX230,757.0643920898438,1953.125,1690318.5955787702,16000,3,cuda
Intel(R) Core(TM) i5-10210U CPU @ 1.60GHz,1582.078218460083,30.517578125,12616.329437509165,2000,4,cpu
NVIDIA GeForce MX350,640.795654296875,30.517578125,31148.806746983177,2000,4,cuda
Intel(R) Core(TM) i5-10210U CPU @ 1.60GHz,119.28153038024902,122.0703125,670011.6920467797,4000,4,cpu
NVIDIA GeForce MX350,21.606143951416016,122.0703125,3698948.788812556,4000,4,cuda
