Device,Execution Time,Memory Usage,Throughput,Array Size
cpu,1265.246868133545,30.517578125,15775.593287533235,2000
cuda,560.072021484375,30.517578125,35638.30942152651,2000
cpu,96.97318077087402,122.0703125,824145.5974186632,4000
cuda,11.143168449401855,122.0703125,7172109.114467345,4000
cpu,1279.7949314117432,488.28125,249915.05447453534,8000
cuda,49.69260787963867,488.28125,6436370.189600233,8000
cpu,396.6789245605469,762.939453125,1259961.1147824246,10000
cuda,68.18988800048828,762.939453125,7329532.789325319,10000
cpu,1589.2550945281982,1098.6328125,452891.43478484487,12000
cuda,99.24163055419922,1098.6328125,7252601.715435486,12000
cpu,824.9025344848633,1716.61376953125,1363433.8276125614,15000
cuda,101.44185638427734,1716.61376953125,11087139.57027229,15000
cpu,1125.5428791046143,1953.125,1136944.707977722,16000
cuda,147.8656005859375,1953.125,8654345.668830981,16000
