Device,Execution Time,Memory Usage,Throughput,Array Size
cpu,1061.2671375274658,30.517578125,18807.72455321922,2000
cuda,974.032470703125,30.517578125,20492.150518956987,2000
cpu,112.69855499267578,122.0703125,709148.5778605943,4000
cuda,10.774911880493164,122.0703125,7417231.8888924485,4000
cpu,468.01257133483887,488.28125,683400.488768433,8000
cuda,27.011520385742188,488.28125,11840874.391092217,8000
cpu,651.4661312103271,762.939453125,767192.6383516606,10000
cuda,47.67494583129883,762.939453125,10483494.239690963,10000
cpu,889.739990234375,1098.6328125,808955.4565378152,12000
cuda,39.972991943359375,1098.6328125,18006158.28357007,12000
cpu,1226.6051769256592,1716.61376953125,916920.9792664724,15000
cuda,44.84531021118164,1716.61376953125,25079545.992739495,15000
cpu,2046.820878982544,1953.125,625203.7162314454,16000
cuda,59.46700668334961,1953.125,21519159.805941645,16000
