Device,Execution Time,Memory Usage,Throughput,Array Size
cpu,358.08277130126953,30.517578125,55741.358143161895,2000
cuda,188.8506622314453,30.517578125,105692.08370335531,2000
cpu,29.001474380493164,122.0703125,2755722.655733511,4000
cuda,4.949312210083008,122.0703125,16147702.26804092,4000
cpu,112.73670196533203,488.28125,2837053.1905249,8000
cuda,19.21552085876465,488.28125,16644879.019977931,8000
cpu,185.22238731384277,762.939453125,2698378.0268047918,10000
cuda,21.448959350585938,762.939453125,23301830.72431188,10000
cpu,255.0373077392578,1098.6328125,2822175.4157468607,12000
cuda,25.467327117919922,1098.6328125,28262095.062718436,12000
cpu,392.98319816589355,1716.61376953125,2861954.4684076295,15000
cuda,47.146175384521484,1716.61376953125,23855594.029144708,15000
cpu,439.9869441986084,1953.125,2908449.9821484643,16000
cuda,46.268287658691406,1953.125,27657821.042348746,16000
