Device,Execution Time,Memory Usage,Throughput,Array Size
cpu,1486.860990524292,30.517578125,13424.267720522928,2000
cuda,555.3734741210938,30.517578125,35939.81515157477,2000
cpu,67.00372695922852,122.0703125,1192769.770085043,4000
cuda,9.31116771697998,122.0703125,8583243.523178805,4000
cpu,244.97056007385254,488.28125,1305626.3573205539,8000
cuda,28.56073570251465,488.28125,11198591.77758644,8000
cpu,301.0411262512207,762.939453125,1660238.3409332377,10000
cuda,56.8666877746582,762.939453125,8788977.159712974,10000
cpu,435.00328063964844,1098.6328125,1654608.257072527,12000
cuda,81.89100646972656,1098.6328125,8789243.789134288,12000
cpu,688.0013942718506,1716.61376953125,1634735.0882774466,15000
cuda,100.71974182128906,1716.61376953125,11166629.298907446,15000
cpu,1363.9943599700928,1953.125,938185.7121667706,16000
cuda,130.0813751220703,1953.125,9837534.534049392,16000
