Device,Execution Time,Memory Usage,Throughput,Array Size
cpu,555.1366806030273,30.517578125,35955.14527758833,2000
cuda,223.60397338867188,30.517578125,89265.05060491562,2000
cpu,30.270099639892578,122.0703125,2640229.829130606,4000
cuda,29.90764808654785,122.0703125,2672226.842068106,4000
cpu,114.01247978210449,488.28125,2805307.1085837604,8000
cuda,113.20188903808594,488.28125,2825394.7236904516,8000
cpu,178.78293991088867,762.939453125,2795568.8627176443,10000
cuda,178.58583068847656,762.939453125,2798654.395330201,10000
cpu,254.2724609375,1098.6328125,2830664.466557849,12000
cuda,261.14215087890625,1098.6328125,2756200.0909372866,12000
cpu,431.837797164917,1716.61376953125,2604450.1601847555,15000
cuda,408.6865539550781,1716.61376953125,2751986.844479411,15000
cpu,466.9013023376465,1953.125,2740793.4259189125,16000
cuda,757.0643920898438,1953.125,1690318.5955787702,16000
