Device,Execution Time,Memory Usage,Throughput,Array Size
cpu,614.9590015411377,30.517578125,32457.48082388997,2000
cuda,348.4598693847656,30.517578125,57280.68496163144,2000
cpu,67.81721115112305,122.0703125,1178462.2021968318,4000
cuda,6.213024139404297,122.0703125,12863304.279333238,4000
cpu,265.3224468231201,488.28125,1205476.6712340196,8000
cuda,23.72800064086914,488.28125,13479434.059400147,8000
cpu,400.8915424346924,762.939453125,1246721.2876695208,10000
cuda,28.742271423339844,762.939453125,17389023.039916843,10000
cpu,643.2435512542725,1098.6328125,1118954.117140431,12000
cuda,32.320640563964844,1098.6328125,22269361.23297259,12000
cpu,884.6719264984131,1716.61376953125,1271318.7638400975,15000
cuda,38.29878234863281,1716.61376953125,29366469.402653202,15000
cpu,945.4712867736816,1953.125,1353483.7471022198,16000
cuda,48.7751350402832,1953.125,26236319.365248647,16000
