Device,Execution Time,Memory Usage,Throughput,Array Size
cpu,381.5770149230957,30.517578125,52309.28284300041,2000
cuda,193.49325561523438,30.517578125,103156.1536164906,2000
cpu,30.011653900146484,122.0703125,2662966.2019263096,4000
cuda,4.967423915863037,122.0703125,16088826.191133467,4000
cpu,111.88578605651855,488.28125,2858629.601426176,8000
cuda,19.192031860351562,488.28125,16665250.57520101,8000
cpu,175.5669116973877,762.939453125,2846777.9900433063,10000
cuda,18.42905616760254,762.939453125,27120217.956610616,10000
cpu,268.8710689544678,1098.6328125,2676970.8723175735,12000
cuda,36.26185607910156,1098.6328125,19848956.94334886,12000
cpu,459.6734046936035,1716.61376953125,2446737.20192638,15000
cuda,46.46543884277344,1716.61376953125,24205087.652473975,15000
cpu,537.341833114624,1953.125,2381500.8271038947,16000
cuda,53.44704055786133,1953.125,23942953.747170135,16000
