Device,Execution Time,Memory Usage,Throughput,Array Size
cpu,374.5090961456299,30.517578125,53296.48920526736,2000
cuda,201.619384765625,30.517578125,98998.51655237802,2000
cpu,30.1206111907959,122.0703125,2653333.277128903,4000
cuda,21.09062385559082,122.0703125,3789362.5407773014,4000
cpu,241.17064476013184,488.28125,1326197.972054653,8000
cuda,8.938207626342773,488.28125,35783462.789269336,8000
cpu,192.86561012268066,762.939453125,2591441.883714158,10000
cuda,10.095935821533203,762.939453125,49505071.03402908,10000
cpu,261.2423896789551,1098.6328125,2755142.535958749,12000
cuda,19.179040908813477,1098.6328125,37528467.84268778,12000
cpu,454.27942276000977,1716.61376953125,2475789.048878327,15000
cuda,16.489343643188477,1716.61376953125,68207688.8163222,15000
cpu,606.9121360778809,1953.125,2108509.5253982325,16000
cuda,25.647872924804688,1953.125,49894196.83073952,16000
