Device,Execution Time,Memory Usage,Throughput,Array Size
cpu,1071.2637901306152,30.517578125,18632.21755826018,2000
cuda,897.6557006835938,30.517578125,22235.71909006961,2000
cpu,173.8262176513672,122.0703125,459769.6543123937,4000
cuda,8.580415725708008,122.0703125,9314236.344114369,4000
cpu,642.0671939849854,488.28125,498141.0403713593,8000
cuda,33.639007568359375,488.28125,9508009.989594324,8000
cpu,945.0726509094238,762.939453125,528848.2525857169,10000
cuda,52.448062896728516,762.939453125,9529427.63556622,10000
cpu,1049.6690273284912,1098.6328125,685701.874839404,12000
cuda,75.34489440917969,1098.6328125,9552870.51158582,12000
cpu,1161.5355014801025,1716.61376953125,968287.2530084837,15000
cuda,89.62918090820312,1716.61376953125,12548368.830368996,15000
cpu,1376.4874935150146,1953.125,929670.6479564112,16000
cuda,133.82745361328125,1953.125,9562163.70743979,16000
